,titles,companies,locations,category,emp_type,seniority,salaries,responsibilities,requirements
0,KELLY SERVICES (SINGAPORE) PTE. LTD.,BAU Analyst and Support,"ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Contract,Fresh/entry level,Information Technology,"$3,000to$4,500","Roles & ResponsibilitiesWe are seeking a highly motivated candidate for the position of Functional/Systems Analyst.   Candidate will be part of the dynamic team that undertake BAU responsibilities in supporting  Payment System.   Responsibilities:   •           Manage service requests and support applications related queries. •           Work with users and vendors on issues, resolution and follow up in the timely manner •           To investigate and resolve incidents as well as perform root cause analysis. •           Manage and follow up the problems with the vendors and make sure the problems are eventually resolved. •           Work with vendors to understand and apply hotfixes with proper test management cycle until production deployment •           Work with business user on requirements, gathering, testing and implementation of system enhancements    ","RequirementsQualification:   •           At least 1-4 years of experience •           Experience in system development, integration and implementation •           Experienced in working with different teams on medium to complex regional channel systems will be an advantage. •           Possesses system support or development experience with knowledge on the following will be an advantage: a)         Technical knowledge J2EE, Oracle, SQL, Unix/Linux, Web application development, IBM MQ b)         3 tier application architecture c)         Payment domain-related systems (SWIFT, ISO20022,etc)"
1,MYREPUBLIC LIMITED,Business Analyst,,Full Time,Manager,Design,"$5,000to$7,500","Roles & Responsibilities COMPANY DESCRIPTION  Company Description MyRepublic is on the front lines of the biggest transformation the telecommunications industry has seen in decades - and we’re loving it. The Next Generation National Broadband Network (NBN) is a great opportunity for small businesses to shake things up and we couldn’t be prouder to get involved. We are currently offering the world’s fastest fibre broadband at 1GBps and shaking the market both here in Singapore as well as Australia and New Zealand.   For more information, please visit http://www.myrepublic.com.sg  RESPONSIBILITIES  Job Summary We are looking for an experienced Business Analyst to join our growing Web team. In this role, you will take charge of a variety of web projects and play a key role liaising between stakeholders across MyRepublic business units and external technology partners. As a Business Analyst, not only will you be tasked with understanding our current and future business needs, you will be responsible for translating these requirements into digital solutions and ensuring that these solutions are implemented.  Responsibilities:   Manage multiple concurrent projects or a single large-scale, complex program through all phases, from the gathering of business requirements to project delivery. Work with various MyRepublic business unit stakeholders to understand and clarify business requirements and create detailed functional specifications / user stories. Analyse functional impact considering technical constraints and solution interdependencies by working with developers, IT staff and various technology partners. Support the development team in any functional aspects. Organise and ensure that the functional documentation is up to date. Develop testing strategy with development team, and conduct continuous testing in development environment. Conduct user acceptance testing and deliver end-user training. ","RequirementsRequired Skills & Knowledge:  4+ years experience working as a Business Analyst, preferably in the IT or telecom industry. Ability to solve complex problems, develop solutions and communicate to senior stakeholders in a clear, actionable manner. Experience serving as a liaison between local business teams and offshore IT teams, and as the primary functional support for a development team. Technical knowledge of MySQL, PHP, HTML, UML, Business Object. Experience in functional testing and validation of development. Strong knowledge of SDLC framework and experience in all stages of the software development life cycle. Strong project management skills, with experience working in agile environments. Strong knowledge of Web Service and API technologies (REST, XML/JSON)       "
2,TANGSPAC CONSULTING PTE LTD,Business Analyst /  Business Manager,"THE OCTAGON, 105 CECIL STREET 069534",Permanent,"Middle Management, Manager, Professional",Banking and Finance,"$7,000to$15,000","Roles & Responsibilities Review and understand key business policies and processes in Private Banking, with an emphasis on client interactions and front office productivity. Identify critical pain-points, and articulate how planned / in-flight technology projects will solve them (e.g., change paper forms to electronic workflows). Work with business stakeholders and teams to ensure that business, quality and functional goals are met with each release.  Be responsible for the design, usability, quality and delivery of projects and features. Strong stakeholder management across functions and teams to deliver rollout out of initiatives and projects on time and with considered impact on the Front Office Proactively consider and implement process improvements, achieving significant gains in efficiencies and cost reductions ","Requirements Solid demonstrable experience in working directly with Senior Management in a business management, change management (including technology) capacity within the Private Banking Front Office Proven track record of project-managing and delivering cross-functional projects on time with minimal impact on users Strong knowledge and understanding of Front Office controls, risk policies, procedures and requirements Strong organizational skills and ability to work as an integral part of a larger team, over multiple, concurrent projects, across a variety of topics "
3,VIEWQWEST PRIVATE LIMITED,Business Analyst,"ATLAND HOUSE, 200 BUKIT TIMAH ROAD 229862",Full Time,"Executive, Junior Executive","Consulting , Banking and Finance, Professional Services","$3,000to$3,500","Roles & ResponsibilitiesThe Analyst works together with a Board Member to conduct economic and financial research against defined market trends and industry, and provides written recommendations and statistical exhibits to support the execution of transactions. Responsibilities:  Organise and analyse sophisticated financial data Perform valuation analysis and financial modelling Conduct economic/financial research to support the company’s expansion plan Work across departments to assist in developing business proposal to clients Prepare marketing materials for company positioning and financial alternatives  Develop knowledge of relevant regulatory changes and economic trends Support in company due diligence investigations ","Requirements Bachelor’s Degree in Business, Economics, Mathematics, Statistics, Data Science or equivalent.  1-2 years’ experience in applying data science in the commercial context; or for fresh grads the candidate is to have a strong academic track record with coursework completed in the areas of Economics, Accounting, and Finance Proven research skills and with ability to succinctly express ideas Highly motivated individual with interest in corporate finance, investment banking, accounting, and financial markets Strong team player and able to perform well in a fast-paced environment "
4,NITYO INFOTECH SERVICES PTE. LTD.,Business Analyst,"UBI TECHPARK, 10 UBI CRESCENT 408564",Full Time,Senior Management,Banking and Finance,"$5,500to$7,500","Roles & Responsibilities·         Minimum diploma/degree holder in accounting, banking, finance or IT.  ·         Minimum 6 years working experience in finance and/or business analyst in banking industry.  ·         Good experience in all phases of the software development life cycle.  ·         Good experience in managing small to medium-sized projects (iterative or agile).  ·         Proficiency in working with SQL database queries.  ·         Strong analysis, problem solving skills  ·         Strong perseverance and diligence towards attaining goals with effective time management.  ·         Excellent communication and interpersonal skills  ·         Self-motivated and excellent team player.  ·         Strong experience in working with Microsoft Office tools. ","Requirements Propose solutions for the new requirements  Manage estimation and planning for the daily work  Manage communications with users and sponsors  Write functional specifications for enhancements  Prepare functional test cases and manage BA’s tests to validate the development of the solution  Liaise with IT business lines for clarification and understanding of requirements.    Manage functional risks and escalate with defined actions.  Keep up-to date the existing documentation (presentation of the tool, use guide…)  Communicate with deployment team for delivery via the release note and support team for support  Provide and monitor 3rd Level application support under the team scope  Organize Problem solving sessions to understand why we had issues in production  Be pro-active to propose improvement on current application"
5,STARCOM MEDIA WORLDWIDE,Regional Business Analyst,"MAPLETREE ANSON, 60 ANSON ROAD 079914",Permanent,Executive,Advertising / Media ,"$3,400to$4,500","Roles & Responsibilities Work with leadership to pull and analyze data sets. Support local and regional markets to translate identified opportunities into effective client proposals and projects. Recommend and apply analytics techniques in solving clients’ problems. Look at opportunities to scale up and build on solutions that are developed, by leveraging internal and external systems and tools. Support local data resources in developing and enhancing data management platforms and drive alignment of data collection practices across various teams in the agency. Support analytics training for account teams and rest of analytics team and as required (develop materials and conduct training in analytics tools and techniques, such as R, GA). Source for and evaluate 3rd-party data sets that could augment existing data available from clients or within the agency for the delivery of projects and innovation of analytics offerings by the team. ","Requirements Knowledge of data and analytical solutions like R, Eviews, SAS, Python etc Experience with Attribution Analytics, and/or Regression Techniques Bachelor’s Degree in Computer Sciences, Information Technology, Mathematics, Statistics Good analytical, problem solving and testing skills Possession of strong communication and presentation skills as well as an analytical mindset Experience of 1-3 years Keen interest to work in a small team and learn various facets from client management, to data analysis, to thinking of innovative analytical solutions Knowledge of working in the Advertising industry is an added plus. "
6,A*STAR RESEARCH ENTITIES,BTI - Research Scientist (Expression Engineering Group),"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500to$9,000","Roles & ResponsibilitiesThe successful applicant will work in a team responsible for engineering animal cells with altered glycosylation pathways and development of protein production technologies. He will be developing cell lines for high level expression of recombinant proteins with unique glycans attached to it (e.g. monoclonal antibodies and other therapeutic proteins) and characterizing cell lines for growth, productivity and glycan structures.","Requirements PhD in Molecular Biology, Cell Biology, Biochemistry, Biochemical Engineering, Biotechnology or related fields Understanding of principles in Molecular Biology, Cell Biology, Genetics and Biochemistry Practical experience with recombinant DNA technology, animal cell cultivation, cell line development and protein characterization technologies (ELISA, SDS-PAGE and Western blot) Good interpersonal and communication skills Able to work independently as well as in a team   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
7,NANYANG TECHNOLOGICAL UNIVERSITY,Research Associate,"NANYANG TECHNOLOGICAL UNIVERSITY, 50 NANYANG AVENUE 639798","Contract, Full Time","Professional, Executive",Sciences / Laboratory / R&D,"$3,200to$4,000","Roles & ResponsibilitiesA Research Associate position is currently available in the School of Computer Science and Engineering, Nanyang Technological University (NTU) to  Conduct advanced research in computer vision and machine learning for object detection in images and videos Develop proof-of-concept demo systems ",Requirements Master degree in Computer Science or Electrical and Computer Engineering Experience in image and video analytics and machine learning Deep understanding and hand-on experience in deep networks such as CNN and RNN Good communication skills in English Independent and team player 
8,HP PPS ASIA PACIFIC PTE. LTD.,Business Analyst,1 DEPOT CLOSE 109841,"Permanent, Full Time",Professional,Others,"$8,400to$12,900","Roles & ResponsibilitiesHP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives. We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.  At HP, the future is yours to create! If you are our Business Analyst in Singapore, you will have a chance to   Provide Analysis to support business/team's needs by ensuring data integrity & accuracy Be the interface to Sales Operations Be the interface to External Analyst: Canalys & IDC. Establish & enable quarterly published reports Drive regular & scheduled review of analysis with team & cross team members Update Market share quarterly & provide Insights (Small and Medium Business = SMB segment with PC & Print) Support team during budgeting process Key Analytics includes: Volume / Value /Small and Medium Business Channel Capacity & Polarity Insights, Quarterly (PC/Print/Growth Initiatives/Small and Medium Business) Power BI Partner performance/Business insights Business/IT trends and market insights Competitive channel analysis & insights (Small and Medium Business & channel indirect) Retention/Acquisition/Development (RAD) profiling & analysis Sales attainment/productivity analysis Partner program performance reporting and analysis Quarterly Asia Pacific Headquarter Commercial Channel Team's Spent Reports/Analysis. Ensure spent to budget ","RequirementsEducation and Experience Required:   Prior experience in either finance or sales operation with category experience a strong plus Must possess strong analytical skills, with keen eye for details Possess business flair, with good understanding of IT PC & Print & concepts of sell-in, sell- through & sell-out; channel landscape, etc Must have strong excel, pivot skills and excellence in dealing with numbers (for data accuracy & integrity) Strong organizational skills Strong collaborative skills with cross team members Multinational company experience a plus    HP is a Human Capital Partner – we commit to human capital development and adopting progressive workplace practices in Singapore. "
9,CHRIS CONSULTING PTE. LTD.,Business Intelligence – AI  /  Big Data Strategy Partners - Vice President,"PAYA LEBAR SQUARE, 60 PAYA LEBAR ROAD 409051",Full Time,Manager,Banking and Finance,"$12,000to$13,000","Roles & Responsibilities Partnering with Senior Management/ Stakeholders from Business Group to provide deep expertise and advisory on data and analytics needs. Discover intrinsic natures of users from big data, and analyze user behavior as well as their customized needs to develop new data attributes of users from existing data source and develop novel applications including data driven products based on that.   Development, planning and implementation of Data strategies across the bank. Planning new initiatives based on data analysis and insight – allow the data to lead creative and steer programmes to constantly be optimised to exceed targets and KPIs. Business Lead on the Data Transformation Program to ensure business objectives and deliverable are aligned to business priorities on the Data Transformation Program to ensure end-to-end data coverage and identify potential cross segment impact and/or potential capability reusable from another segment. Drive and lead new capabilities in the area of Big Data, Strategic Analytics and Advanced Self Service Business Intelligence across the Banking group. Develop data models/solutions to solve practical problems based on advanced statistical modeling, data mining, and machine learning methods. ","Requirements Degree with at least 10 yrs. experience with MIS, Data Management, Analytics, etc. Retail Banking, Marketing and Product data and analytical knowledge highly desirable. Track record and In-depth knowledge of Business Intelligence and Big Data platforms. "
